SALESORDERID,HISTORY_CREATEDBY_EMPLOYEEID,HISTORY_CREATEDAT,HISTORY_CHANGEDBY_EMPLOYEEID,HISTORY_CHANGEDAT,PARTNER_PARTNERID,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,HEADER_SALESORDERID,PRODUCT_PRODUCTID,NOTEID,CURRENCY,ITEMATPSTATUS,OPITEMPOS,QUANTITYUNIT,DELIVERYDATE,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY
500000000,24,2015-01-01,1,2015-01-15,100000000,X,I,I,500000000,HT-1000,,EUR,I,,EA,2015-12-04,1137.64,956.00,181.64,1.000
500000000,24,2015-01-01,1,2015-01-15,100000000,X,I,I,500000000,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000001,32,2015-01-02,20,2015-01-16,100000002,N,I,I,500000001,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000001,32,2015-01-02,20,2015-01-16,100000002,N,I,I,500000001,HT-1031,,GBP,I,,EA,2015-12-04,339.15,285.00,54.15,1.000
500000002,5,2015-01-03,6,2015-01-17,100000005,P,I,D,500000002,HT-1040,,EUR,I,,EA,2015-12-04,2963.10,2490.00,473.10,3.000
500000002,5,2015-01-03,6,2015-01-17,100000005,P,I,D,500000002,HT-1041,,ARS,I,,EA,2015-12-04,583.10,490.00,93.10,1.000
500000003,33,2015-01-04,19,2015-01-18,100000006,N,I,I,500000003,HT-1073,,EUR,I,,EA,2015-12-04,85.68,72.00,13.68,3.000
500000003,33,2015-01-04,19,2015-01-18,100000006,N,I,I,500000003,HT-1080,,INR,I,,EA,2015-12-04,182.07,153.00,29.07,3.000
500000004,22,2015-01-05,28,2015-01-19,100000006,C,P,D,500000004,HT-1100,,USD,I,,EA,2015-12-04,213.96,179.80,34.16,2.000
500000004,22,2015-01-05,28,2015-01-19,100000006,C,P,D,500000004,HT-1101,,EUR,I,,EA,2015-12-04,95.08,79.90,15.18,1.000
500000005,6,2015-01-06,23,2015-01-20,100000008,X,I,I,500000005,HT-1500,,EUR,I,,EA,2015-12-04,5950.00,5000.00,950.00,1.000
500000005,6,2015-01-06,23,2015-01-20,100000008,X,I,I,500000005,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000006,6,2015-01-07,5,2015-01-21,100000003,X,I,I,500000006,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000006,6,2015-01-07,5,2015-01-21,100000003,X,I,I,500000006,HT-1106,,MXN,I,,EA,2015-12-04,40.46,34.00,6.46,1.000
500000007,21,2015-01-08,13,2015-01-22,100000004,C,P,D,500000007,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000007,21,2015-01-08,13,2015-01-22,100000004,C,P,D,500000007,HT-1031,,GBP,I,,EA,2015-12-04,1017.45,855.00,162.45,3.000
500000008,13,2015-01-09,5,2015-01-23,100000009,X,I,I,500000008,HT-1060,,EUR,I,,EA,2015-12-04,21.42,18.00,3.42,2.000
500000008,13,2015-01-09,5,2015-01-23,100000009,X,I,I,500000008,HT-1061,,EUR,I,,EA,2015-12-04,16.66,14.00,2.66,2.000
500000009,31,2015-01-10,22,2015-01-24,100000000,P,P,I,500000009,HT-1040,,EUR,I,,EA,2015-12-04,1975.40,1660.00,315.40,2.000
500000009,31,2015-01-10,22,2015-01-24,100000000,P,P,I,500000009,HT-1041,,ARS,I,,EA,2015-12-04,1166.20,980.00,186.20,2.000
500000010,23,2015-01-11,2,2015-01-25,100000002,N,I,I,500000010,HT-1070,,ARS,I,,EA,2015-12-04,168.74,141.80,26.94,2.000
500000010,23,2015-01-11,2,2015-01-25,100000002,N,I,I,500000010,HT-1071,,ZAR,I,,EA,2015-12-04,194.45,163.40,31.05,2.000
500000011,2,2015-01-12,27,2015-01-26,100000004,P,P,I,500000011,HT-1104,,JPY,I,,EA,2015-12-04,65.45,55.00,10.45,1.000
500000011,2,2015-01-12,27,2015-01-26,100000004,P,P,I,500000011,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000012,26,2015-01-13,5,2015-01-27,100000005,P,I,D,500000012,HT-1000,,EUR,I,,EA,2015-12-04,2275.28,1912.00,363.28,2.000
500000012,26,2015-01-13,5,2015-01-27,100000005,P,I,D,500000012,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000013,19,2015-01-14,2,2015-01-28,100000006,P,I,D,500000013,HT-1022,,ARS,I,,EA,2015-12-04,243.95,205.00,38.95,1.000
500000013,19,2015-01-14,2,2015-01-28,100000006,P,I,D,500000013,HT-1023,,USD,I,,EA,2015-12-04,853.23,717.00,136.23,3.000
500000014,6,2015-01-15,8,2015-01-29,100000006,P,I,I,500000014,HT-1040,,EUR,I,,EA,2015-12-04,987.70,830.00,157.70,1.000
500000014,6,2015-01-15,8,2015-01-29,100000006,P,I,I,500000014,HT-1041,,ARS,I,,EA,2015-12-04,1166.20,980.00,186.20,2.000
500000015,23,2015-01-16,19,2015-01-30,100000008,X,I,I,500000015,HT-1055,,EUR,I,,EA,2015-12-04,353.43,297.00,56.43,3.000
500000015,23,2015-01-16,19,2015-01-30,100000008,X,I,I,500000015,HT-1056,,JPY,I,,EA,2015-12-04,283.22,238.00,45.22,2.000
500000016,26,2015-01-17,20,2015-01-31,100000004,N,I,I,500000016,HT-1067,,EUR,I,,EA,2015-12-04,8.33,7.00,1.33,2.000
500000016,26,2015-01-17,20,2015-01-31,100000004,N,I,I,500000016,HT-1068,,USD,I,,EA,2015-12-04,4.17,3.50,0.67,1.000
500000017,31,2015-01-18,9,2015-02-01,100000005,P,P,D,500000017,HT-1100,,USD,I,,EA,2015-12-04,106.98,89.90,17.08,1.000
500000017,31,2015-01-18,9,2015-02-01,100000005,P,P,D,500000017,HT-1107,,ARS,I,,EA,2015-12-04,71.16,59.80,11.36,2.000
500000018,3,2015-01-19,17,2015-02-02,100000002,C,P,D,500000018,HT-1100,,USD,I,,EA,2015-12-04,320.94,269.70,51.24,3.000
500000018,3,2015-01-19,17,2015-02-02,100000002,C,P,D,500000018,HT-1101,,EUR,I,,EA,2015-12-04,285.24,239.70,45.54,3.000
500000019,12,2015-01-20,31,2015-02-03,100000009,N,I,I,500000019,HT-1070,,ARS,I,,EA,2015-12-04,253.11,212.70,40.41,3.000
500000019,12,2015-01-20,31,2015-02-03,100000009,N,I,I,500000019,HT-1071,,ZAR,I,,EA,2015-12-04,97.22,81.70,15.52,1.000
500000020,18,2015-01-21,17,2015-02-04,100000000,N,I,I,500000020,HT-1082,,ARS,I,,EA,2015-12-04,402.22,338.00,64.22,2.000
500000020,18,2015-01-21,17,2015-02-04,100000000,N,I,I,500000020,HT-1083,,CNY,I,,EA,2015-12-04,1237.60,1040.00,197.60,2.000
500000021,6,2015-01-22,9,2015-02-05,100000002,P,P,D,500000021,HT-1113,,EUR,I,,EA,2015-12-04,5.47,4.60,0.87,2.000
500000021,6,2015-01-22,9,2015-02-05,100000002,P,P,D,500000021,HT-1114,,USD,I,,EA,2015-12-04,82.11,69.00,13.11,1.000
500000022,18,2015-01-23,13,2015-02-06,100000006,N,I,I,500000022,HT-1102,,USD,I,,EA,2015-12-04,246.33,207.00,39.33,3.000
500000022,18,2015-01-23,13,2015-02-06,100000006,N,I,I,500000022,HT-1103,,EUR,I,,EA,2015-12-04,274.89,231.00,43.89,3.000
500000023,32,2015-01-24,32,2015-02-07,100000008,C,P,D,500000023,HT-1104,,JPY,I,,EA,2015-12-04,196.35,165.00,31.35,3.000
500000023,32,2015-01-24,32,2015-02-07,100000008,C,P,D,500000023,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000024,24,2015-01-25,18,2015-02-08,100000005,P,P,D,500000024,HT-1116,,MXN,I,,EA,2015-12-04,128.52,108.00,20.52,3.000
500000024,24,2015-01-25,18,2015-02-08,100000005,P,P,D,500000024,HT-1117,,EUR,I,,EA,2015-12-04,135.66,114.00,21.66,3.000
500000025,18,2015-01-26,15,2015-02-09,100000003,C,P,D,500000025,HT-1000,,EUR,I,,EA,2015-12-04,1137.64,956.00,181.64,1.000
500000025,18,2015-01-26,15,2015-02-09,100000003,C,P,D,500000025,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000026,14,2015-01-27,28,2015-02-10,100000003,N,I,I,500000026,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000026,14,2015-01-27,28,2015-02-10,100000003,N,I,I,500000026,HT-1031,,GBP,I,,EA,2015-12-04,339.15,285.00,54.15,1.000
500000027,17,2015-01-28,14,2015-02-11,100000003,C,P,D,500000027,HT-1040,,EUR,I,,EA,2015-12-04,2963.10,2490.00,473.10,3.000
500000027,17,2015-01-28,14,2015-02-11,100000003,C,P,D,500000027,HT-1041,,ARS,I,,EA,2015-12-04,583.10,490.00,93.10,1.000
500000028,16,2015-01-29,28,2015-02-12,100000008,C,P,D,500000028,HT-1073,,EUR,I,,EA,2015-12-04,85.68,72.00,13.68,3.000
500000028,16,2015-01-29,28,2015-02-12,100000008,C,P,D,500000028,HT-1080,,INR,I,,EA,2015-12-04,182.07,153.00,29.07,3.000
500000029,27,2015-01-30,23,2015-02-13,100000004,N,I,I,500000029,HT-1100,,USD,I,,EA,2015-12-04,213.96,179.80,34.16,2.000
500000029,27,2015-01-30,23,2015-02-13,100000004,N,I,I,500000029,HT-1101,,EUR,I,,EA,2015-12-04,95.08,79.90,15.18,1.000
500000030,32,2015-01-31,26,2015-02-14,100000006,P,I,D,500000030,HT-1500,,EUR,I,,EA,2015-12-04,5950.00,5000.00,950.00,1.000
500000030,32,2015-01-31,26,2015-02-14,100000006,P,I,D,500000030,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000031,30,2015-02-01,17,2015-02-15,100000004,C,P,D,500000031,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000031,30,2015-02-01,17,2015-02-15,100000004,C,P,D,500000031,HT-1106,,MXN,I,,EA,2015-12-04,40.46,34.00,6.46,1.000
500000032,31,2015-02-02,29,2015-02-16,100000006,N,I,I,500000032,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000032,31,2015-02-02,29,2015-02-16,100000006,N,I,I,500000032,HT-1031,,GBP,I,,EA,2015-12-04,1017.45,855.00,162.45,3.000
500000033,5,2015-02-03,31,2015-02-17,100000009,N,I,I,500000033,HT-1060,,EUR,I,,EA,2015-12-04,21.42,18.00,3.42,2.000
500000033,5,2015-02-03,31,2015-02-17,100000009,N,I,I,500000033,HT-1061,,EUR,I,,EA,2015-12-04,16.66,14.00,2.66,2.000
500000034,26,2015-02-04,1,2015-02-18,100000000,N,I,I,500000034,HT-1500,,EUR,I,,EA,2015-12-04,11900.00,10000.00,1900.00,2.000
500000034,26,2015-02-04,1,2015-02-18,100000000,N,I,I,500000034,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000035,2,2015-02-05,12,2015-02-19,100000002,P,P,I,500000035,HT-1085,,DKK,I,,EA,2015-12-04,3567.62,2998.00,569.62,2.000
500000035,2,2015-02-05,12,2015-02-19,100000002,P,P,I,500000035,HT-1090,,EUR,I,,EA,2015-12-04,92.82,78.00,14.82,2.000
500000036,13,2015-02-06,23,2015-02-20,100000003,X,I,I,500000036,HT-1104,,JPY,I,,EA,2015-12-04,65.45,55.00,10.45,1.000
500000036,13,2015-02-06,23,2015-02-20,100000003,X,I,I,500000036,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000037,12,2015-02-07,7,2015-02-21,100000005,P,P,D,500000037,HT-1000,,EUR,I,,EA,2015-12-04,2275.28,1912.00,363.28,2.000
500000037,12,2015-02-07,7,2015-02-21,100000005,P,P,D,500000037,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000038,27,2015-02-08,32,2015-02-22,100000006,C,P,D,500000038,HT-1070,,ARS,I,,EA,2015-12-04,84.37,70.90,13.47,1.000
500000038,27,2015-02-08,32,2015-02-22,100000006,C,P,D,500000038,HT-1071,,ZAR,I,,EA,2015-12-04,291.67,245.10,46.57,3.000
500000039,15,2015-02-09,31,2015-02-23,100000006,C,P,D,500000039,HT-1040,,EUR,I,,EA,2015-12-04,987.70,830.00,157.70,1.000
500000039,15,2015-02-09,31,2015-02-23,100000006,C,P,D,500000039,HT-1041,,ARS,I,,EA,2015-12-04,1166.20,980.00,186.20,2.000
500000040,27,2015-02-10,5,2015-02-24,100000008,N,I,I,500000040,HT-1113,,EUR,I,,EA,2015-12-04,8.21,6.90,1.31,3.000
500000040,27,2015-02-10,5,2015-02-24,100000008,N,I,I,500000040,HT-1114,,USD,I,,EA,2015-12-04,164.22,138.00,26.22,2.000
500000041,7,2015-02-11,21,2015-02-25,100000004,C,P,D,500000041,HT-1117,,EUR,I,,EA,2015-12-04,90.44,76.00,14.44,2.000
500000041,7,2015-02-11,21,2015-02-25,100000004,C,P,D,500000041,HT-1118,,ARS,I,,EA,2015-12-04,94.01,79.00,15.01,1.000
500000042,15,2015-02-12,8,2015-02-26,100000002,X,I,I,500000042,HT-1100,,USD,I,,EA,2015-12-04,106.98,89.90,17.08,1.000
500000042,15,2015-02-12,8,2015-02-26,100000002,X,I,I,500000042,HT-1107,,ARS,I,,EA,2015-12-04,71.16,59.80,11.36,2.000
500000043,6,2015-02-13,17,2015-02-27,100000005,P,P,D,500000043,HT-1100,,USD,I,,EA,2015-12-04,320.94,269.70,51.24,3.000
500000043,6,2015-02-13,17,2015-02-27,100000005,P,P,D,500000043,HT-1101,,EUR,I,,EA,2015-12-04,285.24,239.70,45.54,3.000
500000044,27,2015-02-14,32,2015-02-28,100000009,C,P,D,500000044,HT-1070,,ARS,I,,EA,2015-12-04,253.11,212.70,40.41,3.000
